,env,rewardfun,agent,rewards,rewards_variance,durations,detected,missed,ttf,napfd,recall,avg_precision,step
0,apache_commons,add_tcfail_1,mlp_cla_new,0.009511384,0.018671254,0.103616825,2.253571429,0.032142857,226.1107143,0.524834635,0.981547619,123,134.4285714
1,apache_commons,add_tcfail_2,mlp_cla_new,0.010077126,0.020741171,0.110773579,2.257142857,0.028571429,281.4642857,0.427182852,0.99047619,123,134.4285714
2,apache_commons,add_tcfail_3,mlp_cla_new,0.010798082,0.024299414,0.107117282,2.282142857,0.003571429,238.7690476,0.505199122,0.998015873,123,134.4285714
3,apache_commons,tcfail,mlp_cla_new,0.008268401,0.016439594,0.101994326,2.075,0.210714286,336.7297619,0.276264485,0.929761905,123,134.4285714
4,apache_drill,add_tcfail_1,mlp_cla_new,0.304724441,0.355453938,0.02482848,4.534615385,3.273076923,4.307692308,0.564677102,0.749802512,123,100.8846154
5,apache_drill,add_tcfail_2,mlp_cla_new,0.434109166,0.502426646,0.022061142,4.596153846,3.211538462,4.4,0.564771899,0.750726064,123,100.8846154
6,apache_drill,add_tcfail_3,mlp_cla_new,0.551162055,0.708304474,0.023957864,4.5,3.307692308,6.592307692,0.424935005,0.66289368,123,100.8846154
7,apache_drill,tcfail,mlp_cla_new,0.158504752,0.258712823,0.010387763,4.320512821,3.487179487,12.68717949,0.322883412,0.627969654,123,100.8846154
12,apache_parquet,add_tcfail_1,mlp_cla_new,0.042092328,0.082754902,0.023982712,2.625382263,0.20030581,27.00978593,0.651899259,0.936107241,123,720.4587156
13,apache_parquet,add_tcfail_2,mlp_cla_new,0.043409076,0.090206236,0.022642012,2.599082569,0.226605505,26.45168196,0.648732691,0.926346297,123,720.4587156
14,apache_parquet,add_tcfail_3,mlp_cla_new,0.04511911,0.101640445,0.024392176,2.602446483,0.22324159,27.35902141,0.639567131,0.927719068,123,720.4587156
15,apache_parquet,tcfail,mlp_cla_new,0.039742392,0.07658225,0.019702605,2.578899083,0.246788991,47.02629969,0.48565042,0.924215048,123,720.4587156
16,apache_tajo,add_tcfail_1,mlp_cla_new,0.029091548,0.052968684,0.030724734,2.39325565,0.438312147,87.46401836,0.397332632,0.830690669,123,1983.635593
17,apache_tajo,add_tcfail_2,mlp_cla_new,0.029165575,0.05416725,0.029958712,2.35815678,0.473411017,83.31454802,0.392464678,0.810240351,123,1983.635593
18,apache_tajo,add_tcfail_3,mlp_cla_new,0.029637103,0.056924203,0.030010711,2.362782486,0.468785311,86.01765537,0.390655317,0.818631811,123,1983.635593
19,apache_tajo,tcfail,mlp_cla_new,0.025768466,0.047025998,0.029668731,2.135204802,0.696362994,94.03495763,0.261069041,0.727979641,123,1983.635593
20,dspace,add_tcfail_1,mlp_cla_new,0.562904053,0.519986524,0.014983138,15.98440367,1.098165138,9.233639144,0.533624788,0.841853567,123,1612.5
21,dspace,add_tcfail_2,mlp_cla_new,0.569618416,0.526567513,0.012443317,16.12920489,0.953363914,8.864678899,0.546411944,0.850341717,123,1612.5
22,dspace,add_tcfail_3,mlp_cla_new,0.562611646,0.528151591,0.015643694,15.84984709,1.232721713,9.766513761,0.515706605,0.826258595,123,1612.5
23,dspace,tcfail,mlp_cla_new,0.392189729,0.416290211,0.010256737,10.91039755,6.172171254,17.88470948,0.339131828,0.644240812,123,1612.5
24,google_auto,add_tcfail_1,mlp_cla_new,0.097116044,0.180008653,0.037824308,1.049206349,0.284126984,1.657142857,0.632970527,0.73968254,123,261.2857143
25,google_auto,add_tcfail_2,mlp_cla_new,0.098756256,0.187451686,0.011041165,1.049206349,0.284126984,1.79047619,0.630369102,0.73968254,123,261.2857143
26,google_auto,add_tcfail_3,mlp_cla_new,0.097214306,0.191143167,0.035492487,1.031746032,0.301587302,1.861904762,0.59375026,0.722222222,123,261.2857143
27,google_auto,tcfail,mlp_cla_new,0.071328692,0.128952099,0.026703124,0.826984127,0.506349206,6.692063492,0.213469659,0.532539683,123,261.2857143
28,google_closure,add_tcfail_1,mlp_cla_new,0.069425952,0.058481749,0.036882666,4.781273408,0.454681648,81.41423221,0.451808856,0.764534391,123,1126.101124
29,google_closure,add_tcfail_2,mlp_cla_new,0.067421222,0.057969805,0.038326143,4.638202247,0.597752809,82.4659176,0.432579293,0.743469736,123,1126.101124
30,google_closure,add_tcfail_3,mlp_cla_new,0.066934996,0.05829153,0.036442489,4.619101124,0.616853933,83.93670412,0.429009773,0.746666461,123,1126.101124
31,google_closure,tcfail,mlp_cla_new,0.06754641,0.056211564,0.036616739,4.576404494,0.659550562,109.5475655,0.23730987,0.642084031,123,1126.101124
32,google_guava,add_tcfail_1,mlp_cla_new,0.005841816,0.01164269,0.183975612,3.046666667,0.061025641,108.3266667,0.830125398,0.972119658,123,132.7384615
33,google_guava,add_tcfail_2,mlp_cla_new,0.005848214,0.011877779,0.176904895,2.992307692,0.115384615,159.6451282,0.774324151,0.954493691,123,132.7384615
34,google_guava,add_tcfail_3,mlp_cla_new,0.006081139,0.012788249,0.182913168,3.053333333,0.054358974,109.7261538,0.829917009,0.974547009,123,132.7384615
35,google_guava,tcfail,mlp_cla_new,0.005375719,0.010715737,0.167904173,2.867179487,0.240512821,323.2758974,0.557883477,0.908522589,123,132.7384615
36,iofrol,add_tcfail_1,mlp_cla_new,0.491180339,0.558187409,0.025745737,20.01869619,14.25805658,1.927429274,0.398727451,0.498818287,123,158.6900369
37,iofrol,add_tcfail_2,mlp_cla_new,0.582558199,0.655814599,0.022445257,19.20504305,15.07170972,1.906519065,0.359451564,0.455761144,123,158.6900369
38,iofrol,add_tcfail_3,mlp_cla_new,0.67124262,0.795582918,0.026103346,16.78290283,17.49384994,4.276260763,0.302139121,0.39209712,123,158.6900369
